submission_cik,1987Q1,2010Q1,2010Q2,2011Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,1987Q1_percent_change,2010Q1_percent_change,2010Q2_percent_change,2011Q3_percent_change,2015Q4_percent_change,2016Q1_percent_change,2016Q2_percent_change,2016Q3_percent_change,2016Q4_percent_change,2017Q1_percent_change,2017Q2_percent_change,2017Q3_percent_change,2017Q4_percent_change,2018Q1_percent_change,2018Q2_percent_change,2018Q3_percent_change,2018Q4_percent_change,2019Q1_percent_change,2019Q2_percent_change,2019Q3_percent_change,2019Q4_percent_change,2020Q1_percent_change,2020Q2_percent_change,2020Q3_percent_change,2020Q4_percent_change,2021Q1_percent_change,2021Q2_percent_change,2021Q3_percent_change,2021Q4_percent_change,2022Q1_percent_change,2022Q2_percent_change,2022Q3_percent_change,2022Q4_percent_change,2023Q1_percent_change,2023Q2_percent_change,2023Q3_percent_change,2023Q4_percent_change,2024Q1_percent_change,2024Q2_percent_change,2024Q3_percent_change
2230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52297,52297,52297,40100,40100,45400,43300,43300,41500,45800,44800,834300,736900,606400,729300,729300,652600,709600,709600,578600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,-23.322561523605557,0.0,13.216957605985048,-4.625550660792954,0.0,-4.157043879907619,10.361445783132538,-2.183406113537123,1762.2767857142858,-11.674457629150181,-17.709322838919796,20.267150395778355,0.0,-10.516934046345817,8.734293594851362,0.0,-18.46110484780158
3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648898,1297402,550513,457618,506646,534336,578359,478336,415139,347260,286852,5764194,4843193,7048952,3681230,4582993,4033239,3582393,2971130,2410989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,99.93928167446964,-57.56804752883069,-16.87426091663594,10.71373940710374,5.465354507881237,8.238823511797811,-17.294275700732587,-13.211842721434309,-16.35090897265735,-17.39561135748431,1909.4662055694225,-15.977966737413762,45.543487529817625,-47.776208434956004,24.49624174528622,-11.995523449413948,-11.178261441982485,-17.062979968976045,-18.852793381642673
5272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256086,251582,251842,243408,235299,229307,220044,393354,195043,188661,183802,3547017,3459017,3437627,3454458,3264378,6861148,3410137,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-1.758784158446769,0.10334602634529677,-3.348925119717916,-3.3314435022677946,-2.5465471591464506,-4.03956268234289,78.76152042318809,-50.41540190261189,-3.2720989730469663,-2.575519052692399,1829.8032665585793,-2.480957942970108,-0.6183837778189538,0.4896110020080613,-5.502455088468294,110.1823992196982,-50.29786560499788,-100.0,0.0
7195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3669,3553,3627,3861,3274,2867,2567,1467,1430,1366,1396,25054,28439,28342,28607,28698,57288,27211,39875,22259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-3.161624420823117,2.082746974387839,6.451612903225801,-15.203315203315205,-12.431276725717776,-10.463899546564349,-42.85157771717959,-2.522154055896386,-4.475524475524473,2.196193265007329,1694.6991404011462,13.510816636066103,-0.3410809100179324,0.9350081151647816,0.31810396056908274,99.62366715450554,-52.50139645300935,46.540002204990635,-44.17805642633229
7773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37482,41583,42943,43969,43858,39093,40893,40676,40142,40067,40461,809827,815911,817392,800555,808923,810794,858800,859537,869535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10.941251800864404,3.270567299136662,2.389213608737162,-0.25245059018854654,-10.86460850927995,4.604404880669177,-0.5306531680238646,-1.3128134526502078,-0.18683672960988496,0.9833528839194416,1901.5002100788415,0.7512715678780868,0.18151489561974987,-2.0598439916221345,1.0452748405793466,0.23129519126048326,5.920862759221213,0.08581741965534295,1.1631843655363294
9015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28519,28537,57074,30143,6287,5143,7800,3178,5766,2461,2701,25250,22681,19395,22225,42900,41780,40512,94827,31442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.06311581752516116,100.0,-47.186109261660306,-79.14275287794845,-18.196278034038492,51.66245382072721,-59.25641025641026,81.43486469477659,-57.31876517516476,9.752133279154807,834.8389485375786,-10.174257425742573,-14.487897359022972,14.591389533384902,93.02587176602925,-2.6107226107226156,-3.0349449497367176,134.07138625592418,-66.84277684625687
9631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604753,445557,401554,405378,303114,410039,253563,276158,275655,371169,523997,3017882,4821041,4594479,4775181,4225173,7437286,5019365,8133134,7515720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-26.3241356388476,-9.87595302060118,0.9523003132829055,-25.226825333392533,35.27550690499284,-38.16124807640249,8.911000421985849,-0.18214210705466138,34.64983403167001,41.17477483302754,475.93497672696594,59.749155202224614,-4.6994414691764685,3.9330248326306494,-11.518055545957317,76.02323029139872,-32.51079762160551,62.03511798803234,-7.59134178780283
9634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33910,36317,37195,43648,45343,43109,0,47615,51905,49022,50210,981996,929368,805463,763820,654180,648073,633322,646812,649584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,7.09820112061339,2.417600572734524,17.34910606264284,3.883339442815248,-4.92689058950665,-100.0,inf,9.009765830095562,-5.5543781909257355,2.423401737995179,1855.7777335192193,-5.35928863254026,-13.332178426629715,-5.170069885270956,-14.35416721217041,-0.9335351126601221,-2.2761324727306964,2.1300381164715665,0.4285634774864988
11544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,900,0,0,0,0,0,0,0,0,0,0,0,0,161600,84436,596600,979400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-25.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-47.75,606.5706570657067,64.16359369761983,-100.0
