year_quarter,total_shares,net_change,percent_change
1987Q1,514,0.0,0.0
2010Q1,1274,760.0,147.85992217898834
2010Q2,236,-1038.0,-81.4756671899529
2011Q3,336745,336509.0,142588.5593220339
2015Q4,129104,-207641.0,-61.66119764213277
2016Q1,150035,20931.0,16.21251084397075
2016Q2,147895,-2140.0,-1.4263338554337321
2016Q3,183384,35489.0,23.996078298793062
2016Q4,2032727,1849343.0,1008.453845482703
2017Q1,3060369,1027642.0,50.554845781061594
2017Q2,4225652,1165283.0,38.076552206612995
2017Q3,3022499,-1203153.0,-28.472600204654807
2017Q4,3350482,327983.0,10.851384897066964
2018Q1,4257714,907232.0,27.077656289453277
2018Q2,6946767,2689053.0,63.15720125870361
2018Q3,7805826,859059.0,12.366313711111946
2018Q4,4532345,-3273481.0,-41.93638187681867
2019Q1,11496147,6963802.0,153.6467766685899
2019Q2,12019951,523804.0,4.556343964634412
2019Q3,17929366,5909415.0,49.16338677254175
2019Q4,515369948,497440582.0,2774.4460233563195
2020Q1,529472342,14102394.0,2.7363632774334756
2020Q2,524638946,-4833396.0,-0.9128703459263978
2020Q3,504847562,-19791384.0,-3.7723817781533895
2020Q4,557491251,52643689.0,10.42764053201469
2021Q1,524050328,-33440923.0,-5.998465974132391
2021Q2,502793191,-21257137.0,-4.056315942235227
2021Q3,516558998,13765807.0,2.7378666311334356
2021Q4,818835513,302276515.0,58.51732641776574
2022Q1,517409365,-301426148.0,-36.811562666066244
2022Q2,511206981,-6202384.0,-1.1987382563127746
2022Q3,8856129447,8344922466.0,1632.396030601155
2022Q4,9978869135,1122739688.0,12.677543781615865
2023Q1,10151022526,172153391.0,1.725179363222504
2023Q2,15448308389,5297285863.0,52.184751333493395
2023Q3,9425412703,-6022895686.0,-38.987412306506094
2023Q4,10040262213,614849510.0,6.523316584368772
2024Q1,8714587602,-1325674611.0,-13.203585552611703
2024Q2,8437705520,-276882082.0,-3.1772252990658503
2024Q3,8131832930,-305872590.0,-3.6250683230765324
