Ticker,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,FILINGMANAGER_NAME,date
AEF,237,26031,SH,,Provida Pension Fund Administrator,2021-11-15
ALB,4752,21703,SH,,Provida Pension Fund Administrator,2021-11-15
ABEV,14,5104,SH,,Provida Pension Fund Administrator,2021-11-15
AZUL,1330,65020,SH,,Provida Pension Fund Administrator,2021-11-15
BSBR,214,31916,SH,,Provida Pension Fund Administrator,2021-11-15
05969B103,140,25000,SH,,Provida Pension Fund Administrator,2021-11-15
BBD,247,64326,SH,,Provida Pension Fund Administrator,2021-11-15
BRFS,248,49357,SH,,Provida Pension Fund Administrator,2021-11-15
CX,715,100605,SH,,Provida Pension Fund Administrator,2021-11-15
CEPU,259,85070,SH,,Provida Pension Fund Administrator,2021-11-15
KOF,186,3266,SH,,Provida Pension Fund Administrator,2021-11-15
P31076105,1292,15807,SH,,Provida Pension Fund Administrator,2021-11-15
G2519Y108,572,5055,SH,,Provida Pension Fund Administrator,2021-11-15
FMX,331,3790,SH,,Provida Pension Fund Administrator,2021-11-15
GGB,422,88661,SH,,Provida Pension Fund Administrator,2021-11-15
GGAL,0,1,SH,,Provida Pension Fund Administrator,2021-11-15
SUPV,7,3293,SH,,Provida Pension Fund Administrator,2021-11-15
IEMG,8538,139356,SH,,Provida Pension Fund Administrator,2021-11-15
EWZ,119560,3698126,SH,,Provida Pension Fund Administrator,2021-11-15
ECH,1510,57953,SH,,Provida Pension Fund Administrator,2021-11-15
EEM,1507,30150,SH,,Provida Pension Fund Administrator,2021-11-15
EZU,100038,2063913,SH,,Provida Pension Fund Administrator,2021-11-15
EWG,56817,1713948,SH,,Provida Pension Fund Administrator,2021-11-15
EWH,34237,1433127,SH,,Provida Pension Fund Administrator,2021-11-15
EWJ,83119,1170862,SH,,Provida Pension Fund Administrator,2021-11-15
EWW,5026,104345,SH,,Provida Pension Fund Administrator,2021-11-15
EWY,128841,1609302,SH,,Provida Pension Fund Administrator,2021-11-15
EWP,628,23000,SH,,Provida Pension Fund Administrator,2021-11-15
EWT,146905,2375573,SH,,Provida Pension Fund Administrator,2021-11-15
IVV,149076,341746,SH,,Provida Pension Fund Administrator,2021-11-15
IJR,418981,3772223,SH,,Provida Pension Fund Administrator,2021-11-15
LQD,3201,24000,SH,,Provida Pension Fund Administrator,2021-11-15
EMB,9577,87000,SH,,Provida Pension Fund Administrator,2021-11-15
ILF,37070,1394135,SH,,Provida Pension Fund Administrator,2021-11-15
AAXJ,85730,1015994,SH,,Provida Pension Fund Administrator,2021-11-15
MCHI,18822,282563,SH,,Provida Pension Fund Administrator,2021-11-15
EUFN,3801,193134,SH,,Provida Pension Fund Administrator,2021-11-15
EWU,866,26883,SH,,Provida Pension Fund Administrator,2021-11-15
USMV,5791,78000,SH,,Provida Pension Fund Administrator,2021-11-15
MTUM,16806,94666,SH,,Provida Pension Fund Administrator,2021-11-15
QUAL,43399,325817,SH,,Provida Pension Fund Administrator,2021-11-15
VLUE,46286,452324,SH,,Provida Pension Fund Administrator,2021-11-15
IWM,43724,198007,SH,,Provida Pension Fund Administrator,2021-11-15
LOMA,343,48877,SH,,Provida Pension Fund Administrator,2021-11-15
MELI,93,56,SH,,Provida Pension Fund Administrator,2021-11-15
G68707101,52,1000,SH,,Provida Pension Fund Administrator,2021-11-15
PAM,219,12541,SH,,Provida Pension Fund Administrator,2021-11-15
PBR,93,9000,SH,,Provida Pension Fund Administrator,2021-11-15
GXC,2361,21701,SH,,Provida Pension Fund Administrator,2021-11-15
JNK,810,7400,SH,,Provida Pension Fund Administrator,2021-11-15
SPYG,19598,303660,SH,,Provida Pension Fund Administrator,2021-11-15
SPY,115514,265885,SH,,Provida Pension Fund Administrator,2021-11-15
SUZ,27,2668,SH,,Provida Pension Fund Administrator,2021-11-15
XLE,10816,204502,SH,,Provida Pension Fund Administrator,2021-11-15
XLF,91229,2392584,SH,,Provida Pension Fund Administrator,2021-11-15
XLV,8887,68959,SH,,Provida Pension Fund Administrator,2021-11-15
XLI,8135,81442,SH,,Provida Pension Fund Administrator,2021-11-15
XLK,10746,71452,SH,,Provida Pension Fund Administrator,2021-11-15
GDX,113,3906,SH,,Provida Pension Fund Administrator,2021-11-15
92189F403,41452,1379438,SH,,Provida Pension Fund Administrator,2021-11-15
VWO,2979,59979,SH,,Provida Pension Fund Administrator,2021-11-15
VUG,22958,78617,SH,,Provida Pension Fund Administrator,2021-11-15
VB,7400,33359,SH,,Provida Pension Fund Administrator,2021-11-15
VOO,121088,303130,SH,,Provida Pension Fund Administrator,2021-11-15
VTI,195737,871919,SH,,Provida Pension Fund Administrator,2021-11-15
VTV,304119,2209849,SH,,Provida Pension Fund Administrator,2021-11-15
ASHR,117872,3137392,SH,,Provida Pension Fund Administrator,2021-11-15
YPF,8,1772,SH,,Provida Pension Fund Administrator,2021-11-15
AMR,3596,58900,SH,,NORGES BANK,2022-02-10
GOOG,2249092,777267,SH,,NORGES BANK,2022-02-10
GOOGL,14477662,4997398,SH,,NORGES BANK,2022-02-10
ALTR,44302,572968,SH,,NORGES BANK,2022-02-10
02156B103,31545,521398,SH,,NORGES BANK,2022-02-10
ATUS,16248,1004177,SH,,NORGES BANK,2022-02-10
ALT,1737,189600,SH,,NORGES BANK,2022-02-10
02208R106,34423,667508,SH,,NORGES BANK,2022-02-10
AMZN,14053756,4214854,SH,,NORGES BANK,2022-02-10
AMBC,3682,229386,SH,,NORGES BANK,2022-02-10
G037AX101,84942,418659,SH,,NORGES BANK,2022-02-10
02290A102,632,70000,SH,,NORGES BANK,2022-02-10
AMCX,9380,272347,SH,,NORGES BANK,2022-02-10
G0250X107,79856,6649088,SH,,NORGES BANK,2022-02-10
G02602103,98473,1315778,SH,,NORGES BANK,2022-02-10
AMED,48497,299588,SH,,NORGES BANK,2022-02-10
AMSWA,902,34485,SH,,NORGES BANK,2022-02-10
AWR,31828,307697,SH,,NORGES BANK,2022-02-10
UHAL,72832,100288,SH,,NORGES BANK,2022-02-10
AMRC,2447,30050,SH,,NORGES BANK,2022-02-10
02364W105,8444,400000,SH,,NORGES BANK,2022-02-10
AAL,30222,1682750,SH,,NORGES BANK,2022-02-10
AAT,18247,486185,SH,,NORGES BANK,2022-02-10
AXL,9170,982890,SH,,NORGES BANK,2022-02-10
024835100,345969,6038904,SH,,NORGES BANK,2022-02-10
AEO,38469,1519315,SH,,NORGES BANK,2022-02-10
025676206,34065,875247,SH,,NORGES BANK,2022-02-10
AXP,993440,6072373,SH,,NORGES BANK,2022-02-10
