ts_event,side,size,price,symbol,range
2022-08-01,B,28611657940.0,115.38039795084781,GOOGL,mean_range
2022-08-01,B,17746068040.0,114.74231386162214,GOOGL,below_mean_range
2022-08-01,B,19345635820.0,116.28057208740628,GOOGL,above_mean_range
2022-08-01,N,36097043796.0,115.3213501452871,GOOGL,mean_range
2022-08-01,N,18872655318.0,114.72683604604966,GOOGL,below_mean_range
2022-08-01,N,21787090776.0,116.26741918844522,GOOGL,above_mean_range
2022-08-01,A,39973576076.0,115.33259108841696,GOOGL,mean_range
2022-08-01,A,22166827578.0,114.71572818581336,GOOGL,below_mean_range
2022-08-01,A,25112200148.0,116.24318433690776,GOOGL,above_mean_range
2022-08-02,A,31757537256.0,115.06417135916648,GOOGL,mean_range
2022-08-02,A,11907761568.0,114.15779740871562,GOOGL,below_mean_range
2022-08-02,A,8040193544.0,116.03968818142134,GOOGL,above_mean_range
2022-08-02,B,24279067135.0,115.08925328517036,GOOGL,mean_range
2022-08-02,B,8502285265.0,114.19803663524915,GOOGL,below_mean_range
2022-08-02,B,6052756165.0,116.05535098675982,GOOGL,above_mean_range
2022-08-02,N,33939383296.0,115.03156709385324,GOOGL,mean_range
2022-08-02,N,11916523008.0,114.09201422436854,GOOGL,below_mean_range
2022-08-02,N,8075475200.0,116.01632277227746,GOOGL,above_mean_range
2022-08-03,A,44374819248.0,117.98985628681483,GOOGL,mean_range
2022-08-03,A,10834558752.0,116.83937188019944,GOOGL,below_mean_range
2022-08-03,A,14241766080.0,118.40756329113562,GOOGL,above_mean_range
2022-08-03,N,46548403460.0,117.96021667246927,GOOGL,mean_range
2022-08-03,N,11203696830.0,116.8498192335503,GOOGL,below_mean_range
2022-08-03,N,20260626010.0,118.3933536585354,GOOGL,above_mean_range
2022-08-03,B,58608508332.0,118.00901472765763,GOOGL,mean_range
2022-08-03,B,13297100685.0,116.91272710788803,GOOGL,below_mean_range
2022-08-03,B,16354348857.0,118.43445967860768,GOOGL,above_mean_range
2022-08-04,B,51710890008.0,117.9044820478209,GOOGL,mean_range
2022-08-04,B,5424585156.0,117.18722400857428,GOOGL,below_mean_range
2022-08-04,B,2507828936.0,118.5926738794436,GOOGL,above_mean_range
2022-08-04,A,75618302424.0,117.92224119063226,GOOGL,mean_range
2022-08-04,A,8320070232.0,117.17620062517797,GOOGL,below_mean_range
2022-08-04,A,2964867312.0,118.57338915470501,GOOGL,above_mean_range
2022-08-04,N,41831279736.0,117.91008567273592,GOOGL,mean_range
2022-08-04,N,4459252506.0,117.20130782918099,GOOGL,below_mean_range
2022-08-04,N,2258719834.0,118.5944847775174,GOOGL,above_mean_range
2022-08-05,B,32591013874.0,117.14641065678039,GOOGL,mean_range
2022-08-05,B,5344900831.0,116.43667658435064,GOOGL,below_mean_range
2022-08-05,B,5872870803.0,117.83286487950163,GOOGL,above_mean_range
2022-08-05,N,40967385088.0,117.10588018002647,GOOGL,mean_range
2022-08-05,N,8161471248.0,116.34952472293277,GOOGL,below_mean_range
2022-08-05,N,9205137648.0,117.80452380952417,GOOGL,above_mean_range
2022-08-05,A,34547364360.0,117.10740144287087,GOOGL,mean_range
2022-08-05,A,5647211712.0,116.40027619589951,GOOGL,below_mean_range
2022-08-05,A,6687572184.0,117.79065400336593,GOOGL,above_mean_range
2022-08-08,B,7551884976.0,118.16716616573578,GOOGL,mean_range
2022-08-08,B,21219207936.0,117.33609107580585,GOOGL,below_mean_range
2022-08-08,B,11267840400.0,119.08341294964022,GOOGL,above_mean_range
2022-08-08,N,8845652354.0,118.30183882103142,GOOGL,mean_range
2022-08-08,N,12375927311.0,117.34961093186485,GOOGL,below_mean_range
2022-08-08,N,8345353907.0,119.23591471995492,GOOGL,above_mean_range
2022-08-08,A,9401824919.0,118.20290755375945,GOOGL,mean_range
2022-08-08,A,22648358613.0,117.32534905013475,GOOGL,below_mean_range
2022-08-08,A,12954508623.0,119.16492196878737,GOOGL,above_mean_range
2022-08-09,B,27870413346.0,116.58973584129929,GOOGL,mean_range
2022-08-09,B,2595394644.0,115.97088852097126,GOOGL,below_mean_range
2022-08-09,B,2513751435.0,117.17357264957212,GOOGL,above_mean_range
2022-08-09,A,23097118419.0,116.55318071114837,GOOGL,mean_range
2022-08-09,A,2856357395.0,115.95650328227606,GOOGL,below_mean_range
2022-08-09,A,2511344423.0,117.14899950223997,GOOGL,above_mean_range
2022-08-09,N,37282728330.0,116.59051148616696,GOOGL,mean_range
2022-08-09,N,3118255384.0,115.97485426008991,GOOGL,below_mean_range
2022-08-09,N,2905011462.0,117.18728640192526,GOOGL,above_mean_range
2022-08-10,N,52426790700.0,119.5939133963541,GOOGL,mean_range
2022-08-10,N,10767690900.0,118.87828219432804,GOOGL,below_mean_range
2022-08-10,N,10812744000.0,120.45730555555527,GOOGL,above_mean_range
2022-08-10,B,45099203032.0,119.63508612604804,GOOGL,mean_range
2022-08-10,B,10219161992.0,118.89741886299204,GOOGL,below_mean_range
2022-08-10,B,11659327056.0,120.48335242458863,GOOGL,above_mean_range
2022-08-10,A,34431703658.0,119.6328838599039,GOOGL,mean_range
2022-08-10,A,7266226844.0,118.87861300471994,GOOGL,below_mean_range
2022-08-10,A,8100680792.0,120.4539651928504,GOOGL,above_mean_range
2022-08-11,A,13092787499.0,119.69199770963418,GOOGL,mean_range
2022-08-11,A,18763718743.0,118.92781496937042,GOOGL,below_mean_range
2022-08-11,A,10278979370.0,120.88146029173348,GOOGL,above_mean_range
2022-08-11,B,10888001200.0,119.70354272151883,GOOGL,mean_range
2022-08-11,B,18607800785.0,118.9252865475407,GOOGL,below_mean_range
2022-08-11,B,9926687170.0,120.93431620964964,GOOGL,above_mean_range
2022-08-11,N,16903611099.0,119.84006212787938,GOOGL,mean_range
2022-08-11,N,23357876274.0,118.96106406894069,GOOGL,below_mean_range
2022-08-11,N,21266256780.0,121.02450205761143,GOOGL,above_mean_range
2022-08-12,A,11490638028.0,120.36055140288154,GOOGL,mean_range
2022-08-12,A,6669574104.0,119.82602090332148,GOOGL,below_mean_range
2022-08-12,A,7090312448.0,121.45852879213412,GOOGL,above_mean_range
2022-08-12,B,15844332062.0,120.41377092771275,GOOGL,mean_range
2022-08-12,B,9039414579.0,119.86295701709061,GOOGL,below_mean_range
2022-08-12,B,9618324092.0,121.45497404282771,GOOGL,above_mean_range
2022-08-12,N,16396556619.0,120.39029017366475,GOOGL,mean_range
2022-08-12,N,10499707503.0,119.83336766220383,GOOGL,below_mean_range
2022-08-12,N,10885381620.0,121.49882947019746,GOOGL,above_mean_range
2022-08-15,B,28458710112.0,121.93273076124767,GOOGL,mean_range
2022-08-15,B,9325377992.0,120.9422471910107,GOOGL,below_mean_range
2022-08-15,B,1257354336.0,122.23260563380308,GOOGL,above_mean_range
2022-08-15,A,19832339536.0,121.84737717055674,GOOGL,mean_range
2022-08-15,A,8295732280.0,120.91865164923519,GOOGL,below_mean_range
2022-08-15,A,3200831216.0,122.18057130942599,GOOGL,above_mean_range
2022-08-15,N,18561597230.0,121.8007724039816,GOOGL,mean_range
2022-08-15,N,7144762746.0,120.91832779009485,GOOGL,below_mean_range
2022-08-15,N,3440364323.0,122.17550268610954,GOOGL,above_mean_range
2022-08-16,B,30210216042.0,121.68141092143512,GOOGL,mean_range
2022-08-16,B,3424755228.0,120.89238352745373,GOOGL,below_mean_range
2022-08-16,B,1608381303.0,122.2380779450842,GOOGL,above_mean_range
2022-08-16,N,23674312683.0,121.66300327088969,GOOGL,mean_range
2022-08-16,N,3057550741.0,120.88873752877956,GOOGL,below_mean_range
2022-08-16,N,1419660935.0,122.21358677685924,GOOGL,above_mean_range
2022-08-16,A,29327354544.0,121.64740796243396,GOOGL,mean_range
2022-08-16,A,4381743216.0,120.8766833834838,GOOGL,below_mean_range
2022-08-16,A,2012877024.0,122.19699417758365,GOOGL,above_mean_range
2022-08-17,N,38076055710.0,120.07780932408716,GOOGL,mean_range
2022-08-17,N,5485064970.0,119.51871500559916,GOOGL,below_mean_range
2022-08-17,N,5961092445.0,120.81931221020092,GOOGL,above_mean_range
2022-08-17,A,41548932775.0,120.07647825127441,GOOGL,mean_range
2022-08-17,A,7137352550.0,119.50178920308633,GOOGL,below_mean_range
2022-08-17,A,6719019290.0,120.80874658656381,GOOGL,above_mean_range
2022-08-17,B,36228356430.0,120.06556940017877,GOOGL,mean_range
2022-08-17,B,5667132545.0,119.51534424204968,GOOGL,below_mean_range
2022-08-17,B,6295258690.0,120.79754307948728,GOOGL,above_mean_range
2022-08-18,A,21038001028.0,119.93114598647566,GOOGL,mean_range
2022-08-18,A,9793712181.0,119.13108321490621,GOOGL,below_mean_range
2022-08-18,A,11154594341.0,120.58020657146866,GOOGL,above_mean_range
2022-08-18,N,14372351280.0,119.9275311986856,GOOGL,mean_range
2022-08-18,N,5916499944.0,119.17791384124425,GOOGL,below_mean_range
2022-08-18,N,6534817848.0,120.5932195738535,GOOGL,above_mean_range
2022-08-18,B,22584524326.0,120.09549694298562,GOOGL,mean_range
2022-08-18,B,7840198513.0,119.23930985050191,GOOGL,below_mean_range
2022-08-18,B,8344360367.0,120.6337598614585,GOOGL,above_mean_range
2022-08-19,B,28574196072.0,117.62602149925902,GOOGL,mean_range
2022-08-19,B,4979600544.0,117.04537532637096,GOOGL,below_mean_range
2022-08-19,B,4261263912.0,118.58964912280678,GOOGL,above_mean_range
2022-08-19,A,42427993648.0,117.64928564823407,GOOGL,mean_range
2022-08-19,A,10140110004.0,117.02797833236734,GOOGL,below_mean_range
2022-08-19,A,7866481160.0,118.60582294264265,GOOGL,above_mean_range
2022-08-19,N,38412951392.0,117.81438691783156,GOOGL,mean_range
2022-08-19,N,17677149248.0,117.16178553490623,GOOGL,below_mean_range
2022-08-19,N,14192327008.0,118.81031122927745,GOOGL,above_mean_range
2022-08-22,A,43755864838.0,114.50206834388224,GOOGL,mean_range
2022-08-22,A,5700427548.0,113.96198954489543,GOOGL,below_mean_range
2022-08-22,A,6648745907.0,115.21357764302677,GOOGL,above_mean_range
2022-08-22,N,35702533215.0,114.52324150842529,GOOGL,mean_range
2022-08-22,N,3319759485.0,113.97284276126565,GOOGL,below_mean_range
2022-08-22,N,6321229470.0,115.24340382678753,GOOGL,above_mean_range
2022-08-22,B,24921089316.0,114.47534311246127,GOOGL,mean_range
2022-08-22,B,2438465492.0,113.9580930499722,GOOGL,below_mean_range
2022-08-22,B,4550588388.0,115.24336103416435,GOOGL,above_mean_range
2022-08-23,B,23321660278.0,114.15336364113979,GOOGL,mean_range
2022-08-23,B,745234112.0,113.57347039473643,GOOGL,below_mean_range
2022-08-23,B,2597287966.0,114.82531382727657,GOOGL,above_mean_range
2022-08-23,N,21013100832.0,114.17159987669716,GOOGL,mean_range
2022-08-23,N,1710067392.0,113.57296717171728,GOOGL,below_mean_range
2022-08-23,N,3672758376.0,114.82018224573763,GOOGL,above_mean_range
2022-08-23,A,23368517844.0,114.13916104639358,GOOGL,mean_range
2022-08-23,A,1010104542.0,113.54270685579145,GOOGL,below_mean_range
2022-08-23,A,2728237445.0,114.80357549234104,GOOGL,above_mean_range
2022-08-24,B,22037410732.0,113.94294140889743,GOOGL,mean_range
2022-08-24,B,3194404536.0,113.29623442367526,GOOGL,below_mean_range
2022-08-24,B,3086182887.0,114.57126158806965,GOOGL,above_mean_range
2022-08-24,N,26873843280.0,113.89754805352723,GOOGL,mean_range
2022-08-24,N,3455675468.0,113.29570009460728,GOOGL,below_mean_range
2022-08-24,N,4632632108.0,114.58848623853207,GOOGL,above_mean_range
2022-08-24,A,29637328908.0,113.86843134204437,GOOGL,mean_range
2022-08-24,A,4579923260.0,113.181838926175,GOOGL,below_mean_range
2022-08-24,A,4695189785.0,114.5338854337149,GOOGL,above_mean_range
2022-08-25,A,20794733260.0,115.41408684380457,GOOGL,mean_range
2022-08-25,A,5941929938.0,114.56044681333589,GOOGL,below_mean_range
2022-08-25,A,6521433198.0,116.31220913411892,GOOGL,above_mean_range
2022-08-25,B,17261117300.0,115.48447658199598,GOOGL,mean_range
2022-08-25,B,6182424850.0,114.66319532691104,GOOGL,below_mean_range
2022-08-25,B,6622125900.0,116.45801951779544,GOOGL,above_mean_range
2022-08-25,N,10787558771.0,115.25440168754817,GOOGL,mean_range
2022-08-25,N,6139888986.0,114.45891284815862,GOOGL,below_mean_range
2022-08-25,N,6487429872.0,116.21945790816301,GOOGL,above_mean_range
2022-08-26,B,14954064100.0,112.14969470945469,GOOGL,mean_range
2022-08-26,B,42403137180.0,111.2245286596938,GOOGL,below_mean_range
2022-08-26,B,5864898340.0,113.38543564794352,GOOGL,above_mean_range
2022-08-26,A,29727549577.0,111.9970836539526,GOOGL,mean_range
2022-08-26,A,69984082856.0,111.1152745610744,GOOGL,below_mean_range
2022-08-26,A,10911321099.0,113.09887990416301,GOOGL,above_mean_range
2022-08-26,N,7640218872.0,112.50493783993781,GOOGL,mean_range
2022-08-26,N,26892145680.0,111.58249227373105,GOOGL,below_mean_range
2022-08-26,N,10430353192.0,113.73903528742173,GOOGL,above_mean_range
2022-08-29,B,40981361858.0,109.87524673583438,GOOGL,mean_range
2022-08-29,B,8027827028.0,109.1759202577532,GOOGL,below_mean_range
2022-08-29,B,6044310362.0,110.57557368280219,GOOGL,above_mean_range
2022-08-29,N,34326994192.0,109.84808377979103,GOOGL,mean_range
2022-08-29,N,7242088928.0,109.1427232924695,GOOGL,below_mean_range
