date,volume_of_trades,strike,expiration_date,options_close_price,options_volume,count,bid,bid_size,ask,ask_size,open_interest,delta,theta,vega,rho,epsilon,lambda,gamma,d1,d2,implied_vol,iv_error,stock_close,stock_high,stock_low,stock_open,stock_traded_volume,divCash,reported_estimate_eps_percent_diff,vix-open,vix-high,vix-low,vix-close,pos_em_count,neg_em_count,em_total_count,pos_nem_count,neu_em_count,neu_nem_count,neg_nem_count,nem_total_count,pos_total_count,neu_total_count,neg_total_count,total_count,article_sentiment,article_count,previous_price,log_return,7_day_vol,7_day_vol_target,forecasted_implied_vol_diff
2022-08-02,31757537256.0,115,10 days,2.52,918,273,2.4,52,2.53,4,1146.0,0.5238,-0.1244,7.5888,1.5832,-1.6522,23.9271,0.0656,0.0597,0.007,0.3186,0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.11697807538953492,-0.2013219246104651
2022-08-02,31757537256.0,115,24 days,3.9,44,17,3.65,4,3.85,4,847.0,0.5291,-0.0815,11.7461,3.7494,-4.0059,15.6204,0.0423,0.0731,-0.0085,0.3417,0.0,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.09693522531358692,-0.22166477468641307
2022-08-02,31757537256.0,115,3 days,1.5,5472,1185,1.37,31,1.51,20,9452.0,0.5231,-0.2405,4.157,0.4827,-0.495,40.169,0.1116,0.058,0.027,0.3103,-0.0003,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.19495128054214714,-0.14674871945785287
2022-08-02,31757537256.0,115,17 days,3.2,1153,239,3.15,44,3.25,158,25789.0,0.5264,-0.0938,9.8905,2.6738,-2.8229,18.9401,0.0516,0.0663,-0.0006,0.3215,0.0,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.11219162469719153,-0.1981083753028085
2022-08-02,11907761568.0,114,10 days,3.08,688,137,3.05,25,3.15,30,280.0,0.5885,-0.1232,7.4144,1.772,-1.8563,22.0037,0.0634,0.2237,0.1705,0.3593,-0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.10051941591352305,-0.22098058408647697
2022-08-02,11907761568.0,114,24 days,4.89,71,23,4.3,20,4.45,4,297.0,0.5673,-0.0907,11.6096,3.973,-4.2946,13.3558,0.037,0.1695,0.0773,0.3632,0.0,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.12592007410667871,-0.2333799258933213
2022-08-02,11907761568.0,114,3 days,2.15,1494,355,2.02,29,2.12,4,1403.0,0.6261,-0.2438,3.954,0.5748,-0.5925,33.5235,0.0999,0.3216,0.2887,0.3283,0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.17615935189390972,-0.1870406481060903
2022-08-02,11907761568.0,114,17 days,3.9,280,65,3.6,26,3.8,20,12816.0,0.5752,-0.0979,9.7355,2.9028,-3.0845,16.977,0.048,0.1897,0.1188,0.3103,0.0002,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.11288294280594906,-0.2154170571940509
2022-08-02,8040193544.0,116,10 days,1.99,866,243,1.91,31,2.0,4,448.0,0.4567,-0.1204,7.5577,1.3861,-1.4407,26.4275,0.067,-0.1086,-0.1599,0.3078,0.0,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.14951078962275244,-0.16078921037724758
2022-08-02,8040193544.0,116,24 days,3.3,76,20,3.2,1,3.35,4,622.0,0.4853,-0.0788,11.7696,3.4572,-3.6741,16.9375,0.0438,-0.0367,-0.1156,0.3261,-0.0002,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.09707419784282834,-0.21072580215717168
2022-08-02,8040193544.0,116,3 days,0.98,5539,1369,0.93,30,1.0,1,3957.0,0.4077,-0.2231,4.0521,0.3777,-0.3858,47.8566,0.114,-0.2334,-0.2629,0.3237,0.0008,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.29134824643739554,-0.03475175356260446
2022-08-02,8040193544.0,116,17 days,2.86,458,169,2.56,51,2.68,4,22202.0,0.477,-0.0975,9.8959,2.425,-2.5581,19.2082,0.0495,-0.0574,-0.1273,0.3183,-0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,,,,0.09031091437989422,-0.23338908562010577
2022-08-02,8502285265.0,114,10 days,3.08,688,137,3.05,25,3.15,30,280.0,0.5885,-0.1232,7.4144,1.772,-1.8563,22.0037,0.0634,0.2237,0.1705,0.3593,-0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,3.08,0.0,,0.10051941591352305,-0.22098058408647697
2022-08-02,8502285265.0,114,24 days,4.89,71,23,4.3,20,4.45,4,297.0,0.5673,-0.0907,11.6096,3.973,-4.2946,13.3558,0.037,0.1695,0.0773,0.3632,0.0,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,4.89,0.0,,0.12592007410667871,-0.2333799258933213
2022-08-02,8502285265.0,114,3 days,2.15,1494,355,2.02,29,2.12,4,1403.0,0.6261,-0.2438,3.954,0.5748,-0.5925,33.5235,0.0999,0.3216,0.2887,0.3283,0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,2.15,0.0,,0.17615935189390972,-0.1870406481060903
2022-08-02,8502285265.0,114,17 days,3.9,280,65,3.6,26,3.8,20,12816.0,0.5752,-0.0979,9.7355,2.9028,-3.0845,16.977,0.048,0.1897,0.1188,0.3103,0.0002,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,3.9,0.0,,0.11288294280594906,-0.2154170571940509
2022-08-02,6052756165.0,116,10 days,1.99,866,243,1.91,31,2.0,4,448.0,0.4567,-0.1204,7.5577,1.3861,-1.4407,26.4275,0.067,-0.1086,-0.1599,0.3078,0.0,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,1.99,0.0,,0.15224367531965352,-0.1580563246803465
2022-08-02,6052756165.0,116,24 days,3.3,76,20,3.2,1,3.35,4,622.0,0.4853,-0.0788,11.7696,3.4572,-3.6741,16.9375,0.0438,-0.0367,-0.1156,0.3261,-0.0002,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,3.3,0.0,,0.10276285427219119,-0.20503714572780884
2022-08-02,6052756165.0,116,3 days,0.98,5539,1369,0.93,30,1.0,1,3957.0,0.4077,-0.2231,4.0521,0.3777,-0.3858,47.8566,0.114,-0.2334,-0.2629,0.3237,0.0008,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,0.98,0.0,,0.29134824643739554,-0.03475175356260446
2022-08-02,6052756165.0,116,17 days,2.86,458,169,2.56,51,2.68,4,22202.0,0.477,-0.0975,9.8959,2.425,-2.5581,19.2082,0.0495,-0.0574,-0.1273,0.3183,-0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,2.86,0.0,,0.12893736270165526,-0.19476263729834473
2022-08-02,11916523008.0,114,10 days,3.08,688,137,3.05,25,3.15,30,280.0,0.5885,-0.1232,7.4144,1.772,-1.8563,22.0037,0.0634,0.2237,0.1705,0.3593,-0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,3.08,0.0,,0.10051941591352305,-0.22098058408647697
2022-08-02,11916523008.0,114,24 days,4.89,71,23,4.3,20,4.45,4,297.0,0.5673,-0.0907,11.6096,3.973,-4.2946,13.3558,0.037,0.1695,0.0773,0.3632,0.0,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,4.89,0.0,,0.12592007410667871,-0.2333799258933213
2022-08-02,11916523008.0,114,3 days,2.15,1494,355,2.02,29,2.12,4,1403.0,0.6261,-0.2438,3.954,0.5748,-0.5925,33.5235,0.0999,0.3216,0.2887,0.3283,0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,2.15,0.0,,0.17615935189390972,-0.1870406481060903
2022-08-02,11916523008.0,114,17 days,3.9,280,65,3.6,26,3.8,20,12816.0,0.5752,-0.0979,9.7355,2.9028,-3.0845,16.977,0.048,0.1897,0.1188,0.3103,0.0002,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,3.9,0.0,,0.11288294280594906,-0.2154170571940509
2022-08-02,8075475200.0,116,10 days,1.99,866,243,1.91,31,2.0,4,448.0,0.4567,-0.1204,7.5577,1.3861,-1.4407,26.4275,0.067,-0.1086,-0.1599,0.3078,0.0,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,1.99,0.0,,0.15224367531965352,-0.1580563246803465
2022-08-02,8075475200.0,116,24 days,3.3,76,20,3.2,1,3.35,4,622.0,0.4853,-0.0788,11.7696,3.4572,-3.6741,16.9375,0.0438,-0.0367,-0.1156,0.3261,-0.0002,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,3.3,0.0,,0.10276285427219119,-0.20503714572780884
2022-08-02,8075475200.0,116,3 days,0.98,5539,1369,0.93,30,1.0,1,3957.0,0.4077,-0.2231,4.0521,0.3777,-0.3858,47.8566,0.114,-0.2334,-0.2629,0.3237,0.0008,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,0.98,0.0,,0.29134824643739554,-0.03475175356260446
2022-08-02,8075475200.0,116,17 days,2.86,458,169,2.56,51,2.68,4,22202.0,0.477,-0.0975,9.8959,2.425,-2.5581,19.2082,0.0495,-0.0574,-0.1273,0.3105,-0.0001,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,2.86,0.0,,0.12893736270165526,-0.19476263729834473
2022-08-03,44374819248.0,118,2 days,1.13,11914,1801,1.13,4,1.19,3,3137.0,0.5185,-0.2741,3.4832,0.3292,-0.3354,54.1594,0.1468,0.0464,0.0234,0.2893,0.0004,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,,,,0.0,-0.3105
2022-08-03,44374819248.0,118,16 days,2.95,3346,439,2.9,4,2.95,4,1536.0,0.5231,-0.0927,9.8461,2.5785,-2.7078,20.934,0.0556,0.058,-0.0025,0.2941,0.0002,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,,,,0.0,-0.2893
2022-08-03,44374819248.0,118,30 days,4.12,271,34,4.0,20,4.1,4,103.0,0.5289,-0.0697,13.4697,4.7945,-5.1331,15.16,0.0399,0.0725,-0.0118,0.3093,0.0,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,,,,0.0,-0.2941
2022-08-03,44374819248.0,118,9 days,2.36,2190,410,2.2,4,2.26,4,1332.0,0.5198,-0.1306,7.3879,1.4554,-1.5136,26.006,0.0694,0.0498,0.0012,0.2974,0.0002,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,,,,0.0,-0.3093
2022-08-03,44374819248.0,118,23 days,3.64,167,73,3.45,4,3.6,3,396.0,0.5262,-0.0799,11.7995,3.6859,-3.9153,17.0711,0.0451,0.0657,-0.0089,0.3159,0.0,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,,,,0.0,-0.2974
2022-08-03,14241766080.0,118,2 days,1.13,11914,1801,1.13,4,1.19,3,3137.0,0.5185,-0.2741,3.4832,0.3292,-0.3354,54.1594,0.1468,0.0464,0.0234,0.2893,0.0004,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,1.13,0.0,,0.32554166687690933,0.015041666876909332
2022-08-03,14241766080.0,118,16 days,2.95,3346,439,2.9,4,2.95,4,1536.0,0.5231,-0.0927,9.8461,2.5785,-2.7078,20.934,0.0556,0.058,-0.0025,0.2941,0.0002,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,2.95,0.0,,0.11791555484941948,-0.17138444515058052
2022-08-03,14241766080.0,118,30 days,4.12,271,34,4.0,20,4.1,4,103.0,0.5289,-0.0697,13.4697,4.7945,-5.1331,15.16,0.0399,0.0725,-0.0118,0.3093,0.0,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,4.12,0.0,,0.14751893532952504,-0.14658106467047494
2022-08-03,14241766080.0,118,9 days,2.36,2190,410,2.2,4,2.26,4,1332.0,0.5198,-0.1306,7.3879,1.4554,-1.5136,26.006,0.0694,0.0498,0.0012,0.2974,0.0002,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,2.36,0.0,,0.11616520586158935,-0.19313479413841067
2022-08-03,14241766080.0,118,23 days,3.64,167,73,3.45,4,3.6,3,396.0,0.5262,-0.0799,11.7995,3.6859,-3.9153,17.0711,0.0451,0.0657,-0.0089,0.3105,0.0,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,3.64,0.0,,0.07659504198028602,-0.22080495801971398
2022-08-03,46548403460.0,118,2 days,1.13,11914,1801,1.13,4,1.19,3,3137.0,0.5185,-0.2741,3.4832,0.3292,-0.3354,54.1594,0.1468,0.0464,0.0234,0.2893,0.0004,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,1.13,0.0,,0.32554166687690933,0.015041666876909332
2022-08-03,46548403460.0,118,16 days,2.95,3346,439,2.9,4,2.95,4,1536.0,0.5231,-0.0927,9.8461,2.5785,-2.7078,20.934,0.0556,0.058,-0.0025,0.2941,0.0002,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,2.95,0.0,,0.11791555484941948,-0.17138444515058052
2022-08-03,46548403460.0,118,30 days,4.12,271,34,4.0,20,4.1,4,103.0,0.5289,-0.0697,13.4697,4.7945,-5.1331,15.16,0.0399,0.0725,-0.0118,0.3093,0.0,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,4.12,0.0,,0.14751893532952504,-0.14658106467047494
2022-08-03,46548403460.0,118,9 days,2.36,2190,410,2.2,4,2.26,4,1332.0,0.5198,-0.1306,7.3879,1.4554,-1.5136,26.006,0.0694,0.0498,0.0012,0.2974,0.0002,117.6526253098,118.1906708524,115.0620356604,115.2912032063,28499014,0.0,0.0,23.86,23.92,21.68,21.95,116.0,38.0,187.0,217.0,33.0,77.0,125.0,419.0,333.0,110.0,163.0,606.0,0.0,0.0,2.36,0.0,,0.11616520586158935,-0.19313479413841067
